userId,recommendations
1,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
2,"['In a Lonely Place (1950)', 'Sense and Sensibility (1995)', 'Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)', 'Gilda (1946)', 'Johnny Eager (1942)']"
3,"['Commitments, The (1991)', 'Going My Way (1944)', 'Topsy-Turvy (1999)', 'Truman Show, The (1998)', 'For the Boys (1991)']"
4,"['Amateur (1994)', 'Fresh (1994)', 'Kiss of Death (1995)', 'Perfect World, A (1993)', 'Killing Zoe (1994)']"
5,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
6,"['Amateur (1994)', 'Fresh (1994)', 'Kiss of Death (1995)', 'Perfect World, A (1993)', 'Killing Zoe (1994)']"
7,"['Beetlejuice (1988)', 'Devil and Max Devlin, The (1981)', 'Toys (1992)', 'Young Frankenstein (1974)', 'Drop Dead Fred (1991)']"
8,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
9,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
10,"['Rugrats Movie, The (1998)', 'Chicken Run (2000)', 'Shark Tale (2004)', 'Rugrats in Paris: The Movie (2000)', 'Garfield: The Movie (2004)']"
11,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
12,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
13,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
14,"['Children of Dune (2003)', 'Ghostbusters II (1989)', 'League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)', 'Weird Science (1985)', 'Visitors, The (Visiteurs, Les) (1993)']"
15,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
16,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
17,"['Rififi (Du rififi chez les hommes) (1955)', 'This Gun for Hire (1942)', 'Devil in a Blue Dress (1995)', 'M (1931)', ""Miller's Crossing (1990)""]"
18,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
19,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
20,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
21,"[""Man Bites Dog (C'est arrivé près de chez vous) (1992)"", 'Freeway (1996)', 'Beautiful Creatures (2000)', 'Confessions of a Dangerous Mind (2002)', 'Fargo (1996)']"
22,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
23,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
24,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
25,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
26,"['Land and Freedom (Tierra y libertad) (1995)', ""Schindler's List (1993)"", 'Walking Dead, The (1995)', 'Before the Rain (Pred dozhdot) (1994)', 'Misérables, Les (1995)']"
27,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
28,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
29,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
30,"['Postman, The (Postino, Il) (1994)', 'Something to Talk About (1995)', 'Mighty Aphrodite (1995)', 'American President, The (1995)', 'Beautiful Girls (1996)']"
31,"['January Man, The (1989)', 'Kiss Kiss Bang Bang (2005)', 'Deathtrap (1982)', 'Novocaine (2001)', 'Murder by Death (1976)']"
32,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
33,"['Bed of Roses (1996)', 'Persuasion (1995)', 'When Night Is Falling (1995)', 'Leaving Las Vegas (1995)', 'How to Make an American Quilt (1995)']"
34,"[""Man Bites Dog (C'est arrivé près de chez vous) (1992)"", 'Freeway (1996)', 'Beautiful Creatures (2000)', 'Confessions of a Dangerous Mind (2002)', 'Fargo (1996)']"
35,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
36,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
37,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
38,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
39,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
40,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
41,"['Kaspar Hauser (1993)', 'Citizen Kane (1941)', 'Amistad (1997)', 'Breaking the Waves (1996)', 'Jean de Florette (1986)']"
42,"['Ben-Hur (1959)', 'Poseidon Adventure, The (1972)', 'Man in the Iron Mask, The (1998)', 'Emerald Forest, The (1985)', 'Seven Samurai (Shichinin no samurai) (1954)']"
43,"['Following (1998)', 'Reservoir Dogs (1992)', 'Dial M for Murder (1954)', 'Basic Instinct (1992)', 'Switchback (1997)']"
44,"[""Man Bites Dog (C'est arrivé près de chez vous) (1992)"", 'Freeway (1996)', 'Beautiful Creatures (2000)', 'Confessions of a Dangerous Mind (2002)', 'Fargo (1996)']"
45,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
46,"['War, The (1994)', 'Lawrence of Arabia (1962)', 'Bridge on the River Kwai, The (1957)', 'Master and Commander: The Far Side of the World (2003)', 'Seven Years in Tibet (1997)']"
47,"['Friday (1995)', 'Bio-Dome (1996)', 'Ace Ventura: When Nature Calls (1995)', 'Black Sheep (1996)', 'Four Rooms (1995)']"
48,"['Phantom, The (1996)', 'Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)', 'Ghost and the Darkness, The (1996)', 'Indiana Jones and the Last Crusade (1989)', 'Fled (1996)']"
49,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
50,"[""Dead Men Don't Wear Plaid (1982)"", 'Snatch (2000)', 'Man Who Knew Too Little, The (1997)', 'Goodbye Lover (1999)', 'Lock, Stock & Two Smoking Barrels (1998)']"
51,"['Librarian: Quest for the Spear, The (2004)', 'Jewel of the Nile, The (1985)', 'Last Action Hero (1993)', 'Three Musketeers, The (1993)', 'Romancing the Stone (1984)']"
52,"['Bananas (1971)', ""McHale's Navy (1997)"", 'In the Army Now (1994)', 'Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)', 'Stripes (1981)']"
53,"['Toy Story 2 (1999)', 'Monsters, Inc. (2001)', 'Antz (1998)', ""Emperor's New Groove, The (2000)"", 'Adventures of Rocky and Bullwinkle, The (2000)']"
54,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
55,"['Demolition Man (1993)', 'Star Wars: Episode VI - Return of the Jedi (1983)', 'Star Wars: Episode IV - A New Hope (1977)', 'Star Wars: Episode V - The Empire Strikes Back (1980)', 'Stargate (1994)']"
56,"['Children of Dune (2003)', 'Ghostbusters II (1989)', 'League of Extraordinary Gentlemen, The (a.k.a. LXG) (2003)', 'Weird Science (1985)', 'Visitors, The (Visiteurs, Les) (1993)']"
57,"['Runaway Train (1985)', 'Northwest Passage (1940)', '3:10 to Yuma (1957)', 'Treasure of the Sierra Madre, The (1948)', 'Daylight (1996)']"
58,"['Underneath (1995)', 'Rear Window (1954)', 'True Crime (1996)', 'Absolute Power (1997)', 'Just Cause (1995)']"
59,"[""Young Poisoner's Handbook, The (1995)"", 'Hate (Haine, La) (1995)', 'Dead Man Walking (1995)', 'Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)', 'Heavenly Creatures (1994)']"
60,"['Othello (1995)', 'Dangerous Minds (1995)', 'Restoration (1995)', 'Georgia (1995)', 'Cry, the Beloved Country (1995)']"
